cond,leg,P_imp_over_median,spikes
H5+G3,lf,1.4340492470384887,4782
H5+G3,lm,0.8292471376963045,4054
H5+G3,lh,1.2451349307933304,5849
H5+G3,rf,1.5637855766332562,5353
H5+G3,rm,1.3621789765771237,3913
H5+G3,rh,1.750933614436757,5250
H5+G3,lf,2.0503743868692945,4698
H5+G3,lm,1.3803460253836755,4252
H5+G3,lh,1.1525214783285995,5576
H5+G3,rf,1.509452995539427,5133
H5+G3,rm,1.7008420718782593,3941
H5+G3,rh,1.2122063347285408,4922
H5+G3,lf,1.995939645475783,4395
H5+G3,lm,1.3057638241161151,4085
H5+G3,lh,1.6179486914707433,5628
H5+G3,rf,1.1994946948447955,5135
H5+G3,rm,1.064480985960722,4233
H5+G3,rh,1.3392078620047108,5051
H5+G3,lf,1.4303661043245366,4711
H5+G3,lm,1.70860131793056,4205
H5+G3,lh,1.2501094361108478,5592
H5+G3,rf,2.0058412782044557,5409
H5+G3,rm,1.4057184650393224,4132
H5+G3,rh,1.5961398951622034,4876
H5+G3,lf,1.1148631003214489,4434
H5+G3,lm,1.731488416899658,4080
H5+G3,lh,0.799946927729866,5487
H5+G3,rf,1.9480365290855504,5098
H5+G3,rm,1.5265145874051205,4217
H5+G3,rh,0.9693789514300747,5175
H5+G3,lf,1.931173095579259,4683
H5+G3,lm,1.4459538559731853,4199
H5+G3,lh,1.4777684155168973,5774
H5+G3,rf,1.4334265121414296,4957
H5+G3,rm,0.9990624266398469,3969
H5+G3,rh,1.4181221947177622,5165
H5+G3,lf,2.6074550948784996,4584
H5+G3,lm,1.6849858084688423,4239
H5+G3,lh,1.7013444033284566,5608
H5+G3,rf,1.4282874129668752,5012
H5+G3,rm,1.4459953720660943,3912
H5+G3,rh,1.1513729571231963,4932
H5+G3,lf,1.7084326255797657,4413
H5+G3,lm,1.164504854733765,4036
H5+G3,lh,1.3875080662964219,5571
H5+G3,rf,1.3335772896937272,5115
H5+G3,rm,1.5363425308778653,4171
H5+G3,rh,1.4796080792220052,5036
H5+G3,lf,1.6743451132208538,4591
H5+G3,lm,1.9372600919512677,4209
H5+G3,lh,1.2229798000868055,5513
H5+G3,rf,1.660112728585735,5354
H5+G3,rm,1.510365657849967,4051
H5+G3,rh,1.6090031416154744,4809
H5+G3,lf,1.5162605174675665,4343
H5+G3,lm,1.8111253138447745,4129
H5+G3,lh,0.9466562610079868,5527
H5+G3,rf,1.1031870729984983,5085
H5+G3,rm,1.058045930867066,4208
H5+G3,rh,1.0595514967344581,5171
H5+G3,lf,1.4881433470133651,4798
H5+G3,lm,1.231243785632626,4355
H5+G3,lh,1.3645174451781632,5835
H5+G3,rf,1.4469775913668117,5238
H5+G3,rm,1.1942372156404526,3962
