conn,rate,cond,seed,total_spikes,frac_active,DNp09_left,DNp09_right,MDN_left,MDN_right,DNa01_left,DNa01_right,DNa02_left,DNa02_right
emb1,r100,sim,1008,15615,0.002712079573568765,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
emb1,r100,sim,1009,15903,0.002885191035711452,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
emb1,vin5,sim,1000,4491,0.00157964209205202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1001,4675,0.0016517718679448063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1002,4621,0.0016589848455340849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1003,4589,0.0016084940024091345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1004,4714,0.0016734108007126422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1005,4523,0.0015868550696412987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1006,4643,0.0016806237783019208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1007,4512,0.0016445588903555278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1008,4737,0.001716688666248314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb1,vin5,sim,1009,4704,0.001716688666248314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,none,control,1009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1000,2653,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1001,2730,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1002,2696,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1003,2714,0.0011757153470524167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1004,2776,0.0011685023694631381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1005,2681,0.0011612893918738593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1006,2778,0.0011829283246416954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb2,r20,sim,1007,2664,0.0011540764142845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
